repo,repo_age_months,stars,forks,days_since_last_commit,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,year,month
appsmithorg__appsmith,50,39114,4460,0,40,212,4,317,300,199,413,363,2024,7
ultralytics__ultralytics,7,53471,10242,0,1,15,0,99,86,75,406,361,2023,3
BerriAI__litellm,27,36574,5916,0,89,1319,67,516,488,371,440,360,2025,9
ultralytics__ultralytics,18,53471,10242,0,23,66,16,115,101,75,399,359,2024,2
zhayujie__chatgpt-on-wechat,9,41351,9745,1,7,223,4,37,36,19,234,359,2023,4
appsmithorg__appsmith,14,39114,4460,0,40,304,7,304,300,243,486,358,2021,7
mastra-ai__mastra,17,21298,1582,0,50,509,21,570,566,482,277,358,2025,12
open-webui__open-webui,16,124575,17612,0,51,372,35,147,141,82,370,356,2025,1
dotnet__maui,40,23180,1913,0,39,240,7,267,275,242,364,356,2023,8
siyuan-note__siyuan,7,41346,2566,0,1,44,0,0,0,0,340,356,2021,2
astral-sh__uv,16,79604,2583,0,53,401,35,449,432,397,443,355,2025,1
oven-sh__bun,41,87520,4074,0,23,244,7,258,221,193,389,354,2024,8
ultralytics__ultralytics,27,53471,10242,1,26,117,13,155,148,120,359,354,2024,11
ChatGPTNextWeb__NextChat,3,87336,60339,0,38,315,32,211,218,90,341,354,2023,5
1Panel-dev__1Panel,18,33519,2968,1,7,123,2,123,123,122,246,354,2023,12
appsmithorg__appsmith,26,39114,4460,1,46,187,4,222,236,188,398,352,2022,7
MaaAssistantArknights__MaaAssistantArknights,17,19628,2497,0,25,477,9,106,103,96,306,352,2022,11
langgenius__dify,13,129998,20242,0,76,333,47,397,384,335,389,351,2024,4
vllm-project__vllm,15,70898,13607,0,79,218,44,335,286,218,368,350,2024,4
anomalyco__opencode,4,108877,10807,0,78,644,64,295,235,178,625,346,2025,7
anomalyco__opencode,5,108877,10807,0,59,620,45,340,260,201,516,346,2025,8
ultralytics__ultralytics,8,53471,10242,0,4,37,1,150,149,121,398,345,2023,4
dotnet__maui,35,23180,1913,0,29,263,2,304,315,283,345,344,2023,3
chatchat-space__Langchain-Chatchat,11,37308,6140,0,21,127,12,59,67,49,288,344,2024,1
ultralytics__ultralytics,34,53471,10242,0,23,89,12,136,207,89,192,344,2025,6
dotnet__maui,26,23180,1913,0,27,243,5,219,188,154,502,341,2022,6
RooCodeInc__Roo-Code,9,22341,2998,0,63,394,34,651,596,393,374,341,2025,6
clash-verge-rev__clash-verge-rev,12,98007,7152,0,6,116,4,7,7,5,151,341,2024,10
clash-verge-rev__clash-verge-rev,20,98007,7152,0,11,156,5,71,68,49,241,340,2025,6
ultralytics__ultralytics,13,53471,10242,0,5,39,1,108,98,75,356,339,2023,9
dataease__dataease,46,23425,4028,0,16,844,3,395,395,385,260,339,2024,11
microsoft__autogen,19,54714,8239,0,36,160,17,197,213,168,170,338,2025,2
openai__codex,6,61508,8163,0,43,394,22,679,558,399,762,337,2025,9
BerriAI__litellm,24,36574,5916,0,82,651,60,487,443,362,349,337,2025,6
zen-browser__desktop,7,40244,1342,0,19,535,13,61,59,45,477,336,2024,9
appsmithorg__appsmith,55,39114,4460,0,32,175,1,251,247,190,320,336,2024,12
siyuan-note__siyuan,50,41346,2566,0,12,390,4,37,34,29,261,336,2024,9
AstrBotDevs__AstrBot,28,17331,1332,0,27,406,21,62,58,46,367,335,2025,3
siyuan-note__siyuan,52,41346,2566,0,9,499,2,31,30,26,300,334,2024,11
astral-sh__uv,10,79604,2583,0,40,568,24,598,600,562,405,333,2024,7
sgl-project__sglang,23,23658,4525,0,230,892,91,1298,1141,896,375,333,2025,11
HKUDS__LightRAG,10,28529,4076,0,15,459,11,80,83,71,66,333,2025,7
CherryHQ__cherry-studio,20,40044,3689,0,35,162,12,204,182,150,415,332,2025,12
Grasscutters__Grasscutter,2,16749,4383,0,75,538,57,349,343,262,352,331,2022,5
ollama__ollama,16,163117,14641,0,52,93,38,135,150,105,332,331,2024,9
open-webui__open-webui,23,124575,17612,0,47,628,23,255,270,125,341,330,2025,8
appsmithorg__appsmith,30,39114,4460,0,55,155,5,248,251,192,334,330,2022,11
