repo,repo_age_months,stars,forks,days_since_last_commit,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,year,month
hiyouga__LlamaFactory,7,67432,8208,0,7,118,6,12,9,5,330,330,2023,11
siyuan-note__siyuan,20,41346,2566,0,1,24,0,0,0,0,329,330,2022,3
immich-app__immich,43,93083,4941,0,48,237,22,275,244,226,382,329,2025,8
lllyasviel__Fooocus,5,47742,7789,0,10,81,8,100,70,40,308,329,2023,12
block__goose,15,30944,2805,0,64,324,29,459,452,326,142,329,2025,10
anomalyco__sst,62,25511,2023,3,6,8,3,19,8,4,48,329,2025,9
astral-sh__uv,14,79604,2583,0,46,373,25,376,358,343,426,328,2024,11
langgenius__dify,15,129998,20242,0,92,346,48,390,393,348,398,328,2024,6
MaaAssistantArknights__MaaAssistantArknights,16,19628,2497,0,29,624,18,115,114,104,356,328,2022,10
oven-sh__bun,48,87520,4074,0,36,297,14,377,385,261,483,327,2025,3
ultralytics__ultralytics,12,53471,10242,0,17,99,8,159,151,124,412,327,2023,8
continuedev__continue,28,31476,4177,0,27,1553,9,349,347,276,115,327,2025,8
siyuan-note__siyuan,28,41346,2566,0,4,564,1,6,6,4,313,326,2022,11
ultralytics__ultralytics,24,53471,10242,0,22,102,12,146,131,104,389,325,2024,8
zen-browser__desktop,16,40244,1342,0,12,145,6,32,31,22,319,325,2025,6
clash-verge-rev__clash-verge-rev,24,98007,7152,0,11,287,5,155,153,132,162,325,2025,10
appsmithorg__appsmith,43,39114,4460,1,48,334,1,348,373,309,355,324,2023,12
run-llama__llama_index,20,47101,6859,0,122,252,64,287,272,253,264,324,2024,6
zed-industries__zed,40,75691,7024,0,92,585,56,682,669,590,521,323,2024,5
RSSNext__Folo,7,37270,1964,0,45,569,25,163,163,143,347,323,2024,10
oven-sh__bun,38,87520,4074,0,39,308,21,243,229,203,517,322,2024,5
appsmithorg__appsmith,51,39114,4460,0,37,337,3,292,278,182,404,322,2024,8
dotnet__maui,49,23180,1913,0,29,163,6,170,170,133,350,322,2024,5
hiyouga__LlamaFactory,8,67432,8208,1,6,127,4,17,17,10,324,322,2023,12
cline__cline,18,58247,5819,0,36,278,13,328,299,242,198,322,2025,12
open-webui__open-webui,14,124575,17612,0,48,581,30,150,151,83,340,319,2024,11
langchain-ai__langchain,21,127113,20906,0,181,531,106,660,688,537,208,319,2024,6
astral-sh__uv,5,79604,2583,0,46,348,42,383,374,341,499,318,2024,2
open-webui__open-webui,9,124575,17612,0,49,961,31,218,217,163,327,318,2024,6
AstrBotDevs__AstrBot,37,17331,1332,0,24,162,12,98,101,86,305,318,2025,12
open-webui__open-webui,12,124575,17612,0,35,511,21,143,144,99,297,318,2024,9
warpdotdev__Warp,13,25963,617,0,2,10,0,1,1,1,103,318,2022,7
astral-sh__ty,8,17325,216,1,16,87,3,97,95,87,505,317,2025,12
google__adk-python,7,17930,2963,0,48,269,32,68,130,1,160,317,2025,10
sgl-project__sglang,22,23658,4525,0,189,813,66,1041,1016,823,301,315,2025,10
run-llama__llama_index,21,47101,6859,0,116,221,63,243,241,222,296,315,2024,7
dotnet__maui,47,23180,1913,1,31,139,5,182,174,140,352,314,2024,3
SimplifyJobs__Summer2026-Internships,67,43476,3165,0,2,2586,0,0,0,0,315,314,2025,11
SimplifyJobs__Summer2026-Internships,42,43476,3165,0,31,0,16,5,9,0,315,313,2023,10
appsmithorg__appsmith,52,39114,4460,0,36,209,5,307,299,200,287,313,2024,9
1Panel-dev__1Panel,36,33519,2968,0,12,147,6,169,169,167,242,313,2025,6
sgl-project__sglang,21,23658,4525,0,180,625,76,950,809,634,301,311,2025,9
vitejs__vite,24,78282,7842,0,55,177,35,171,182,155,141,311,2022,3
siyuan-note__siyuan,46,41346,2566,0,9,529,3,44,43,30,363,310,2024,5
anomalyco__opencode,7,108877,10807,0,68,708,49,247,232,159,533,308,2025,10
BerriAI__litellm,28,36574,5916,0,104,1041,69,662,636,468,371,308,2025,10
siyuan-note__siyuan,45,41346,2566,0,9,650,3,26,25,20,366,307,2024,4
ultralytics__yolov5,19,56827,17432,0,21,75,14,82,83,71,285,306,2021,11
calcom__cal.com,29,40283,11985,0,67,433,29,351,384,270,272,306,2023,7
AstrBotDevs__AstrBot,34,17331,1332,0,20,134,11,78,87,57,249,306,2025,9
run-llama__llama_index,12,47101,6859,0,76,239,51,260,260,240,230,306,2023,10
appsmithorg__appsmith,21,39114,4460,0,58,287,7,306,295,236,431,305,2022,2
hyprwm__Hyprland,27,33974,1574,0,35,176,15,87,87,70,365,305,2024,5
open-webui__open-webui,26,124575,17612,0,44,447,25,354,387,103,249,304,2025,11
langflow-ai__langflow,18,144963,8478,0,41,576,22,451,455,410,186,304,2024,7
nomic-ai__gpt4all,6,77151,8320,0,11,41,4,19,14,11,65,304,2023,8
astral-sh__uv,15,79604,2583,0,40,306,20,340,333,304,370,303,2024,12
hyprwm__Hyprland,25,33974,1574,0,45,204,29,86,91,83,322,303,2024,3
open-webui__open-webui,8,124575,17612,0,40,822,30,232,230,123,314,303,2024,5
CherryHQ__cherry-studio,19,40044,3689,0,28,179,9,191,184,158,305,303,2025,11
siyuan-note__siyuan,31,41346,2566,0,5,600,1,9,7,5,297,303,2023,2
siyuan-note__siyuan,18,41346,2566,0,1,22,0,0,0,0,252,302,2022,1
pola-rs__polars,67,37486,2630,1,32,195,10,236,258,195,194,302,2025,11
run-llama__llama_index,23,47101,6859,0,97,212,55,236,251,212,263,301,2024,9
langchain-ai__langchain,20,127113,20906,0,171,544,100,751,726,597,197,301,2024,5
toeverything__AFFiNE,21,63130,4397,0,19,233,5,285,274,222,104,301,2024,3
zed-industries__zed,39,75691,7024,0,77,533,40,603,612,549,531,299,2024,4
ghostty-org__ghostty,34,44251,1695,0,78,578,61,276,250,206,322,299,2024,12
dotnet__maui,28,23180,1913,0,29,248,3,196,192,154,423,298,2022,8
run-llama__llama_index,22,47101,6859,0,108,280,56,334,329,297,303,298,2024,8
siyuan-note__siyuan,51,41346,2566,0,15,414,7,40,41,36,273,298,2024,10
basecamp__omarchy,3,20351,2013,0,90,0,76,452,383,173,362,297,2025,8
siyuan-note__siyuan,61,41346,2566,0,7,579,0,23,20,18,305,297,2025,8
langchain-ai__langchain,22,127113,20906,0,187,560,113,671,789,562,238,297,2024,7
rustdesk__rustdesk,31,107767,16025,0,29,722,9,204,204,182,142,297,2023,3
langgenius__dify,14,129998,20242,0,96,230,58,292,279,234,359,296,2024,5
open-webui__open-webui,11,124575,17612,0,40,609,22,187,190,127,299,296,2024,8
hiyouga__LlamaFactory,15,67432,8208,1,15,134,8,33,27,20,340,295,2024,7
astral-sh__ruff,7,45873,1786,0,56,585,35,528,530,498,329,295,2023,2
siyuan-note__siyuan,32,41346,2566,0,8,854,3,13,15,9,306,295,2023,3
ultralytics__yolov5,4,56827,17432,0,13,102,9,48,45,33,252,295,2020,8
vllm-project__vllm,19,70898,13607,0,113,378,52,517,483,378,502,294,2024,8
siyuan-note__siyuan,44,41346,2566,0,6,580,2,10,11,10,328,294,2024,3
coollabsio__coolify,33,50871,3650,0,3,350,2,41,55,41,29,294,2023,9
dotnet__maui,50,23180,1913,0,27,201,7,204,198,150,316,293,2024,6
appsmithorg__appsmith,45,39114,4460,0,39,232,2,269,285,204,314,293,2024,2
run-llama__llama_index,19,47101,6859,0,138,291,86,307,317,291,327,292,2024,5
siyuan-note__siyuan,53,41346,2566,0,9,537,3,32,30,25,322,292,2024,12
SimplifyJobs__Summer2026-Internships,40,43476,3165,0,65,0,50,58,59,32,297,292,2023,8
open-webui__open-webui,15,124575,17612,0,39,529,27,117,122,73,282,292,2024,12
ChrisTitusTech__winutil,23,47806,2520,6,5,29,4,71,67,22,65,292,2024,2
lm-sys__FastChat,2,39414,4779,0,37,112,30,155,142,110,397,291,2023,4
twentyhq__twenty,22,39950,5219,0,41,185,18,233,209,181,245,290,2024,9
LAION-AI__Open-Assistant,3,37449,3305,0,118,580,94,451,430,373,398,289,2023,2
dotnet__maui,22,23180,1913,0,36,296,10,235,235,217,249,289,2022,2
zen-browser__desktop,9,40244,1342,0,24,336,19,80,76,55,550,288,2024,11
dotnet__maui,43,23180,1913,0,27,122,2,217,193,123,415,288,2023,11
oven-sh__bun,52,87520,4074,0,25,287,12,362,329,238,414,288,2025,7
astral-sh__ruff,6,45873,1786,0,58,713,44,537,529,511,370,288,2023,1
BerriAI__litellm,12,36574,5916,0,34,1628,24,298,295,262,216,288,2024,6
zen-browser__desktop,17,40244,1342,0,6,100,2,28,24,17,302,287,2025,7
dotnet__maui,67,23180,1913,0,34,223,3,314,284,195,262,287,2025,11
sgl-project__sglang,17,23658,4525,0,97,400,33,595,583,400,246,287,2025,5
LAION-AI__Open-Assistant,5,37449,3305,0,75,289,46,347,343,291,343,285,2023,4
Flowseal__zapret-discord-youtube,7,22959,1894,0,9,40,5,24,22,9,684,284,2025,4
ollama__ollama,21,163117,14641,0,49,139,39,198,192,122,478,284,2025,2
appsmithorg__appsmith,25,39114,4460,0,47,291,4,276,274,200,447,284,2022,6
ollama__ollama,18,163117,14641,0,73,142,56,122,285,133,312,284,2024,11
siyuan-note__siyuan,22,41346,2566,0,4,124,2,5,4,4,309,284,2022,5
zen-browser__desktop,18,40244,1342,0,6,201,4,56,54,39,282,284,2025,8
FoundationAgents__MetaGPT,17,64361,8091,0,25,277,6,33,66,33,38,284,2024,10
MaaAssistantArknights__MaaAssistantArknights,12,19628,2497,0,21,525,10,56,57,52,309,283,2022,6
ultralytics__yolov5,14,56827,17432,0,22,126,17,140,146,122,280,283,2021,6
1Panel-dev__1Panel,39,33519,2968,0,8,163,2,164,163,160,162,283,2025,9
dotnet__maui,34,23180,1913,0,35,258,13,236,269,228,274,282,2023,2
binary-husky__gpt_academic,2,70116,8395,0,20,520,17,35,37,18,381,281,2023,4
appsmithorg__appsmith,49,39114,4460,0,41,251,4,350,333,253,347,281,2024,6
siyuan-note__siyuan,12,41346,2566,2,1,21,0,0,0,0,289,281,2021,7
ggml-org__llama.cpp,15,95602,15021,0,100,286,53,321,301,248,267,281,2024,5
siyuan-note__siyuan,23,41346,2566,0,6,534,2,9,9,6,251,281,2022,6
appsmithorg__appsmith,19,39114,4460,0,58,273,11,253,306,241,366,280,2021,12
siyuan-note__siyuan,21,41346,2566,0,1,13,0,0,0,0,290,280,2022,4
ultralytics__yolov5,17,56827,17432,0,15,87,10,98,94,79,256,280,2021,9
hpcaitech__ColossalAI,19,41347,4533,1,27,89,11,99,102,84,168,280,2023,4
remix-run__remix,56,32392,2732,0,16,40,8,16,92,22,3,280,2025,5
mastra-ai__mastra,11,21298,1582,0,57,451,31,638,670,441,369,279,2025,6
sgl-project__sglang,24,23658,4525,0,205,1093,70,1715,1480,1125,349,279,2025,12
siyuan-note__siyuan,5,41346,2566,0,1,16,0,0,0,0,294,279,2020,12
hyprwm__Hyprland,29,33974,1574,0,31,133,15,79,76,71,289,279,2024,7
dotnet__maui,58,23180,1913,0,44,233,12,299,285,235,262,279,2025,2
withastro__astro,9,56986,3155,0,40,272,19,195,199,179,143,279,2021,11
sgl-project__sglang,20,23658,4525,0,182,670,76,898,803,674,295,278,2025,8
dotnet__maui,56,23180,1913,0,33,186,6,253,241,202,291,278,2024,12
siyuan-note__siyuan,34,41346,2566,0,4,514,1,9,9,7,264,278,2023,5
valinet__ExplorerPatcher,26,31603,1282,2,3,23,2,4,4,1,138,278,2023,9
anthropics__claude-code,4,69236,5437,0,9,31,7,17,16,7,529,277,2025,5
MaaAssistantArknights__MaaAssistantArknights,25,19628,2497,0,44,374,22,96,94,86,350,277,2023,7
PostHog__posthog,52,31333,2298,0,37,505,5,567,570,499,183,277,2024,4
dotnet__maui,64,23180,1913,0,37,249,2,257,319,205,177,277,2025,8
1Panel-dev__1Panel,41,33519,2968,1,7,153,1,159,157,154,123,277,2025,11
vbenjs__vue-vben-admin,39,31565,8595,,0,0,0,43,44,41,45,277,2023,9
oven-sh__bun,37,87520,4074,0,36,302,23,238,213,190,662,276,2024,4
ollama__ollama,19,163117,14641,1,32,67,17,127,107,64,241,276,2024,12
google__adk-python,8,17930,2963,2,57,203,37,98,105,1,219,276,2025,11
hiyouga__LlamaFactory,10,67432,8208,0,11,89,8,17,16,10,216,276,2024,2
calcom__cal.com,19,40283,11985,0,36,357,13,366,373,326,339,275,2022,9
hyprwm__Hyprland,30,33974,1574,0,39,139,20,100,98,91,333,275,2024,8
dataease__dataease,39,23425,4028,0,11,515,0,441,441,428,238,274,2024,4
astral-sh__uv,17,79604,2583,0,35,269,20,310,293,263,411,273,2025,2
MaaAssistantArknights__MaaAssistantArknights,27,19628,2497,0,33,559,7,159,154,138,268,273,2023,9
calcom__cal.com,24,40283,11985,0,35,297,11,271,246,216,341,272,2023,2
dotnet__maui,33,23180,1913,0,25,158,5,275,270,228,310,272,2023,1
AstrBotDevs__AstrBot,29,17331,1332,0,17,293,13,68,60,50,289,272,2025,4
open-webui__open-webui,13,124575,17612,0,48,776,34,159,161,105,286,272,2024,10
dotnet__maui,52,23180,1913,0,36,179,9,256,229,167,264,272,2024,8
tldraw__tldraw,39,45295,2972,0,12,157,5,194,192,177,77,272,2024,7
langchain-ai__langchain,11,127113,20906,0,250,810,180,844,832,653,516,271,2023,8
anthropics__claude-code,2,69236,5437,20,1,1,1,5,4,2,415,271,2025,3
astral-sh__uv,6,79604,2583,0,29,318,16,351,346,312,294,271,2024,3
ultralytics__yolov5,15,56827,17432,0,12,81,9,88,87,72,285,271,2021,7
LAION-AI__Open-Assistant,7,37449,3305,0,21,73,8,91,92,73,68,271,2023,6
Aider-AI__aider,18,40837,3904,0,8,517,4,40,31,13,322,269,2024,10
basecamp__omarchy,6,20351,2013,0,51,0,38,181,164,61,251,269,2025,11
ultralytics__yolov5,24,56827,17432,0,17,85,10,100,100,84,268,268,2022,4
hiyouga__LlamaFactory,24,67432,8208,0,23,71,17,78,82,74,266,268,2025,4
ultralytics__yolov5,28,56827,17432,0,17,138,12,136,130,115,240,268,2022,8
medusajs__medusa,59,32086,4074,0,30,264,16,279,286,257,160,268,2024,11
appsmithorg__appsmith,56,39114,4460,0,31,165,2,227,248,177,286,267,2025,1
siyuan-note__siyuan,26,41346,2566,0,5,617,3,8,8,5,248,267,2022,9
pola-rs__polars,42,37486,2630,0,42,340,19,401,385,340,319,266,2023,10
calcom__cal.com,28,40283,11985,0,69,369,36,336,308,262,275,266,2023,6
clash-verge-rev__clash-verge-rev,21,98007,7152,0,9,68,1,58,60,45,268,266,2025,7
dotnet__maui,31,23180,1913,0,27,142,5,255,264,186,402,265,2022,11
Comfy-Org__ComfyUI,23,103847,11865,0,11,71,5,41,30,16,307,265,2024,11
SimplifyJobs__New-Grad-Positions,52,16313,1262,0,5,3866,2,1,0,0,264,265,2025,9
microsoft__semantic-kernel,14,27284,4466,1,39,186,15,266,266,216,164,265,2024,3
vbenjs__vue-vben-admin,40,31565,8595,,0,0,0,68,67,52,49,265,2023,10
infiniflow__ragflow,12,73523,8152,0,31,268,20,296,295,269,299,264,2024,11
open-webui__open-webui,24,124575,17612,0,34,758,17,297,280,142,282,264,2025,9
appsmithorg__appsmith,9,39114,4460,0,25,242,4,218,215,197,245,264,2021,2
siyuan-note__siyuan,56,41346,2566,0,7,335,2,8,9,7,239,264,2025,3
PaddlePaddle__PaddleOCR,13,70925,9839,2,12,110,2,61,57,53,216,264,2021,5
ChrisTitusTech__winutil,16,47806,2520,3,1,9,0,17,20,14,36,264,2023,7
vllm-project__vllm,21,70898,13607,0,132,356,57,454,442,356,429,263,2024,10
ollama__ollama,23,163117,14641,0,26,97,15,122,98,71,315,263,2025,4
huggingface__diffusers,16,32824,6782,0,64,176,43,220,212,170,236,263,2023,8
ultralytics__yolov5,30,56827,17432,0,9,39,5,47,44,38,215,263,2022,10
calcom__cal.com,56,40283,11985,0,48,274,14,456,414,261,173,262,2025,10
opendatalab__MinerU,12,54771,4540,3,9,243,4,120,122,111,133,262,2025,1
dataease__dataease,11,23425,4028,0,8,511,1,182,182,175,56,262,2021,12
infiniflow__ragflow,16,73523,8152,0,57,336,42,393,383,338,730,261,2025,3
Comfy-Org__ComfyUI,24,103847,11865,0,23,124,12,81,82,55,305,261,2024,12
PaddlePaddle__PaddleOCR,17,70925,9839,0,11,208,1,78,81,76,285,261,2021,9
hyprwm__Hyprland,28,33974,1574,0,33,148,15,75,69,64,323,260,2024,6
appsmithorg__appsmith,18,39114,4460,0,52,191,11,211,221,174,332,259,2021,11
pola-rs__polars,40,37486,2630,0,40,283,21,325,334,283,305,259,2023,8
siyuan-note__siyuan,33,41346,2566,0,6,658,2,15,15,14,287,259,2023,4
mastra-ai__mastra,12,21298,1582,0,59,540,32,620,626,542,276,259,2025,7
cline__cline,13,58247,5819,0,42,276,20,368,362,283,261,259,2025,7
ultralytics__yolov5,18,56827,17432,0,16,61,8,73,70,60,290,258,2021,10
hacksider__Deep-Live-Cam,14,79603,11604,0,3,47,1,22,22,5,43,258,2024,10
vllm-project__vllm,20,70898,13607,0,116,322,46,426,393,322,437,257,2024,9
pola-rs__polars,50,37486,2630,0,36,361,8,370,383,359,305,257,2024,6
janhq__jan,6,40538,2529,0,24,630,12,285,281,242,288,257,2024,1
ultralytics__yolov5,20,56827,17432,0,20,49,14,61,65,49,209,257,2021,12
ollama__ollama,13,163117,14641,0,21,170,11,181,125,85,377,256,2024,6
oven-sh__bun,51,87520,4074,0,30,205,14,276,445,169,338,256,2025,6
Comfy-Org__ComfyUI,21,103847,11865,0,21,97,9,53,149,39,288,256,2024,9
1Panel-dev__1Panel,37,33519,2968,0,8,145,3,157,158,151,242,256,2025,7
astral-sh__uv,18,79604,2583,0,40,257,24,304,288,258,416,255,2025,3
twentyhq__twenty,14,39950,5219,0,38,261,21,282,272,248,268,255,2024,1
dotnet__maui,19,23180,1913,0,27,180,7,148,146,130,209,255,2021,11
type-challenges__type-challenges,29,47676,5213,0,10,29,6,16,22,18,1738,254,2022,11
hiyouga__LlamaFactory,9,67432,8208,0,11,101,9,13,15,10,313,254,2024,1
AstrBotDevs__AstrBot,36,17331,1332,0,14,186,4,118,111,68,299,254,2025,11
ultralytics__yolov5,29,56827,17432,0,21,100,13,119,113,100,277,254,2022,9
dataease__dataease,44,23425,4028,0,14,750,2,393,392,384,269,254,2024,9
microsoft__semantic-kernel,11,27284,4466,9,33,258,11,304,303,258,266,254,2023,12
ollama__ollama,20,163117,14641,0,17,39,9,83,70,37,377,253,2025,1
astral-sh__uv,22,79604,2583,0,38,270,16,302,314,276,327,253,2025,7
zen-browser__desktop,21,40244,1342,0,10,115,6,63,56,42,238,253,2025,11
clash-verge-rev__clash-verge-rev,25,98007,7152,0,12,288,5,116,118,104,232,253,2025,11
heroui-inc__heroui,29,28189,2061,0,22,177,17,124,131,104,123,252,2023,8
meta-llama__llama,8,59159,9826,0,14,42,12,12,43,15,76,252,2023,9
appsmithorg__appsmith,32,39114,4460,0,61,257,9,308,286,228,551,251,2023,1
open-webui__open-webui,25,124575,17612,0,41,357,21,302,286,101,250,251,2025,10
HKUDS__LightRAG,5,28529,4076,0,27,823,16,145,148,129,134,251,2025,2
astral-sh__uv,19,79604,2583,0,35,232,13,270,266,237,383,250,2025,4
google__adk-python,2,17930,2963,0,60,366,49,126,116,6,337,250,2025,5
hiyouga__LlamaFactory,6,67432,8208,0,2,63,1,3,4,2,244,250,2023,10
siyuan-note__siyuan,62,41346,2566,0,6,375,2,28,22,21,238,250,2025,9
elysiajs__elysia,33,17330,473,0,9,102,8,12,27,8,37,250,2025,8
run-llama__llama_index,18,47101,6859,0,119,307,72,349,338,308,347,249,2024,4
lizongying__my-tv,3,32262,3623,3,8,59,7,11,9,8,335,249,2024,2
ollama__ollama,24,163117,14641,0,22,109,10,139,130,104,284,248,2025,5
ggml-org__llama.cpp,27,95602,15021,0,86,321,32,400,368,313,228,248,2025,5
run-llama__llama_index,24,47101,6859,0,108,195,68,202,206,195,200,248,2024,10
logseq__logseq,37,41115,2455,0,30,411,9,107,114,93,158,248,2023,5
Comfy-Org__ComfyUI,20,103847,11865,0,28,213,16,93,91,55,389,247,2024,8
immich-app__immich,46,93083,4941,0,48,205,21,268,264,204,279,247,2025,11
oven-sh__bun,40,87520,4074,0,40,258,26,226,424,178,471,246,2024,7
ollama__ollama,27,163117,14641,0,19,81,12,125,92,69,394,246,2025,8
ggml-org__llama.cpp,34,95602,15021,0,106,386,49,516,490,382,280,246,2025,12
siyuan-note__siyuan,30,41346,2566,0,7,665,2,10,10,9,245,246,2023,1
1Panel-dev__1Panel,17,33519,2968,0,12,136,5,136,136,133,238,246,2023,11
vitejs__vite,25,78282,7842,0,31,98,14,145,126,87,172,246,2022,4
MaaAssistantArknights__MaaAssistantArknights,22,19628,2497,0,27,588,9,102,104,98,324,245,2023,4
MaaAssistantArknights__MaaAssistantArknights,30,19628,2497,0,25,266,6,116,110,92,278,245,2023,12
element-plus__element-plus,19,27169,19859,0,30,306,11,350,334,299,274,245,2022,1
ultralytics__yolov5,16,56827,17432,0,13,66,8,76,74,62,249,245,2021,8
siyuan-note__siyuan,15,41346,2566,6,1,15,0,0,0,0,282,244,2021,10
chroma-core__chroma,28,26227,2068,0,17,178,6,221,203,183,50,244,2025,1
dotnet__maui,48,23180,1913,0,30,133,6,178,160,134,335,243,2024,4
immich-app__immich,45,93083,4941,0,65,260,27,290,337,257,305,243,2025,10
ultralytics__yolov5,27,56827,17432,0,13,72,6,95,89,76,268,243,2022,7
kortix-ai__suna,12,19392,3363,0,12,359,5,103,105,84,143,243,2025,9
ultralytics__yolov5,23,56827,17432,0,13,71,7,89,92,68,292,242,2022,3
ultralytics__yolov5,26,56827,17432,0,9,30,5,60,55,39,252,242,2022,6
pola-rs__polars,57,37486,2630,0,29,248,7,283,264,248,234,242,2025,1
run-llama__llama_index,11,47101,6859,0,84,237,67,261,255,237,159,242,2023,9
run-llama__llama_index,31,47101,6859,0,87,221,52,222,224,207,105,242,2025,5
Flowseal__zapret-discord-youtube,9,22959,1894,9,5,19,2,19,15,4,708,241,2025,6
oven-sh__bun,43,87520,4074,0,32,217,15,253,200,181,387,241,2024,10
appsmithorg__appsmith,5,39114,4460,0,51,613,37,313,311,232,321,241,2020,10
astral-sh__ruff,13,45873,1786,0,32,464,14,488,478,465,311,241,2023,8
dotnet__maui,54,23180,1913,0,28,269,4,285,245,201,285,241,2024,10
ChatGPTNextWeb__NextChat,4,87336,60339,0,25,183,20,166,175,66,226,241,2023,6
OpenBB-finance__OpenBB,42,60495,5898,0,7,93,0,113,112,102,5,241,2024,5
RooCodeInc__Roo-Code,8,22341,2998,0,57,480,31,633,681,459,353,240,2025,5
sgl-project__sglang,18,23658,4525,0,103,381,32,588,476,381,268,240,2025,6
siyuan-note__siyuan,42,41346,2566,0,9,454,3,16,16,13,232,240,2024,1
hiyouga__LlamaFactory,20,67432,8208,0,8,82,5,47,54,41,229,240,2024,12
calcom__cal.com,55,40283,11985,0,56,373,14,554,563,353,136,240,2025,9
appsmithorg__appsmith,13,39114,4460,0,46,334,9,233,232,193,460,239,2021,6
LAION-AI__Open-Assistant,2,37449,3305,0,59,1436,45,450,441,391,374,239,2023,1
oven-sh__bun,53,87520,4074,0,26,269,11,404,276,213,341,239,2025,8
dotnet__maui,44,23180,1913,7,24,129,8,119,113,101,321,239,2023,12
dotnet__maui,55,23180,1913,0,27,133,4,220,167,134,303,239,2024,11
calcom__cal.com,30,40283,11985,0,62,362,30,357,356,262,210,239,2023,8
drizzle-team__drizzle-orm,41,32866,1200,0,12,115,6,41,35,25,188,239,2024,10
basecamp__omarchy,4,20351,2013,0,59,0,44,282,225,87,390,238,2025,9
dotnet__maui,46,23180,1913,0,43,203,7,237,240,193,345,238,2024,2
BerriAI__litellm,6,36574,5916,0,32,1165,25,53,51,41,262,238,2023,12
dotnet__maui,53,23180,1913,0,32,135,4,168,159,122,246,238,2024,9
siyuan-note__siyuan,39,41346,2566,0,5,579,0,6,6,4,233,238,2023,10
AstrBotDevs__AstrBot,27,17331,1332,0,15,323,14,37,35,29,351,237,2025,2
hyprwm__Hyprland,26,33974,1574,0,42,251,22,106,104,94,290,237,2024,4
open-webui__open-webui,22,124575,17612,0,46,609,21,246,223,98,262,237,2025,7
OpenBB-finance__OpenBB,24,60495,5898,0,23,232,8,244,254,234,197,237,2022,11
ultralytics__ultralytics,9,53471,10242,0,7,48,4,173,155,135,363,236,2023,5
dotnet__maui,39,23180,1913,0,26,145,5,183,174,130,273,236,2023,7
lobehub__lobehub,12,72501,14652,0,31,0,18,151,147,115,262,236,2024,4
siyuan-note__siyuan,55,41346,2566,0,6,313,2,27,37,32,229,236,2025,2
calcom__cal.com,35,40283,11985,0,52,265,19,289,309,231,222,236,2024,1
oven-sh__bun,42,87520,4074,0,22,220,11,213,164,147,368,235,2024,9
coze-dev__coze-studio,3,19906,2836,1,33,137,17,170,172,150,327,235,2025,8
Comfy-Org__ComfyUI,22,103847,11865,0,16,69,10,40,27,20,259,235,2024,10
siyuan-note__siyuan,13,41346,2566,1,1,11,0,0,0,0,240,235,2021,8
element-plus__element-plus,15,27169,19859,0,40,278,20,346,331,299,232,235,2021,9
opendatalab__MinerU,15,54771,4540,0,7,263,3,125,123,119,157,235,2025,4
anomalyco__opencode,6,108877,10807,0,43,517,25,191,147,104,344,234,2025,9
ultralytics__yolov5,25,56827,17432,0,12,75,8,88,96,74,268,234,2022,5
